Virus,WolVirus,BiolRep,TechRep,Days,Survival
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
0,0,1,A,7,0
1,0,1,B,5,1
1,0,1,B,5,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,B,6,1
1,0,1,C,5,1
1,0,1,C,5,1
1,0,1,C,5,1
1,0,1,C,5,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,1,C,6,1
1,0,2,D,5,1
1,0,2,D,5,1
1,0,2,D,5,1
1,0,2,D,5,1
1,0,2,D,5,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,D,6,1
1,0,2,E,5,1
1,0,2,E,5,1
1,0,2,E,5,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,2,E,6,1
1,0,3,F,5,1
1,0,3,F,5,1
1,0,3,F,5,1
1,0,3,F,5,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,F,6,1
1,0,3,G,3,1
1,0,3,G,4,1
1,0,3,G,5,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,0,3,G,6,1
1,1,1,H,2,1
1,1,1,H,5,1
1,1,1,H,5,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,H,6,1
1,1,1,I,5,1
1,1,1,I,5,1
1,1,1,I,5,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,1,I,6,1
1,1,2,J,5,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,J,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,6,1
1,1,2,K,7,1
1,1,2,K,7,1
1,1,3,L,5,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,L,6,1
1,1,3,M,2,1
1,1,3,M,3,1
1,1,3,M,3,1
1,1,3,M,4,1
1,1,3,M,4,1
1,1,3,M,5,1
1,1,3,M,5,1
1,1,3,M,6,1
1,1,3,M,6,1
1,1,3,M,6,1
1,1,3,M,6,1
1,1,3,M,7,1