Number,Sample_Name,Target_Takeoff,Reference_Takeoff
1,28,24.3,15.9
2,28,24.2,16
3,29,23.8,15.8
4,29,23.8,15.7
5,30,23.6,16.1
6,30,23.8,16
7,31,23.6,15.9
8,31,23.8,15.8
9,32,23.2,15.2
10,32,22.7,14.9
11,33,22.2,15.1
12,33,22.3,15.1
13,34,19,26.4
14,34,19.5,26.8
15,35,25.3,26.3
16,35,25.2,25.9
17,36,22.4,25.3
18,36,22,25.1
19,37,22.5,25
20,37,22.6,24.9
21,39,23.4,25.6
22,39,23.7,25.3
23,8,13.9,26.9
24,8,13.5,26.8
25,10,12.7,26.5
26,10,12.3,26.6
27,11,13.1,27.9
28,11,13.2,27.9
29,1,16.2,27.7
30,1,16,27.7
31,41,14.9,26.2
32,41,15,26.3
33,43,13.9,26
34,43,13.8,26.5
35,44,15.4,24.3
36,44,15.1,24.6
37,45,12.8,25.6
38,45,12.6,26
39,2,20.3,25.8
40,2,20.1,26.3
41,3,18.5,27.4
42,3,18.5,27.3
43,4,19.2,27.6
44,4,19.2,27.5
45,5,25.8,28.2
46,5,25.8,28.4
47,9,13.5,28.6
48,9,13.9,29.1
49,11,14,28.1
50,11,14,28.6
51,12,14.8,29.7
52,12,14.5,29.9
53,42,14,27.3
54,42,14.2,26.8
55,6,17.3,25.2
56,6,17.1,25.5
57,7,11.5,27.3
58,7,11.6,27.1
59,38,28.1,25.3
60,38,27.6,25.1
61,40,12.3,26.1
62,40,12.6,26